"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"15",15,"UKRN02","Full-time","Yes","Year 1","4","BPS Psychology ","Yes","Female ","UKRN",1,3,3,2,1,1,3,2,3,18,18,1,1,1,0,0,1
"16",16,"UKRN02","Full-time","Yes","Year 2","3","Psychology ","Yes","Female","UKRN",1,4,4,4,3,1,3,2,4,25,25,1,1,1,0,0,1
"17",17,"UKRN02","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,3,2,2,1,2,2,2,4,18,18,1,1,1,0,0,1
"18",18,"UKRN02","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,4,3,3,1,0,0,4,4,19,19,1,1,0,0,0,1
"19",19,"UKRN02","Full-time","Yes","Year 1","3","BSc (Hons) Psychology","Yes","Female","UKRN",1,3,3,4,1,1,3,3,3,21,21,1,1,1,1,1,1
"20",20,"UKRN02","Full-time","Yes","Year 1","3","Psychology ","Yes","Male","UKRN",1,4,3,3,1,0,3,3,3,20,20,1,1,1,0,1,1
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology","Yes","Female","UKRN",1,4,3,3,3,1,2,2,2,20,20,1,1,1,1,1,1
"24",24,"UNI02","Full-time","No","Year 2","3","BSc Psychology Hons","No","N/A","Non-UKRN",1,4,4,4,2,1,1,4,3,23,23,1,1,1,0,0,1
"25",25,"UNI02","Full-time","No","Year 2","3","Single honours Psychology ","Yes","Female","Non-UKRN",1,1,3,3,3,1,3,3,3,20,20,1,1,1,0,0,1
"26",27,"UNI02","Full-time","No","Final Year","3","Psychology ","No","Female ","Non-UKRN",1,3,2,3,1,1,2,2,3,17,17,1,0,0,0,0,1
"27",28,"UNI02","Full-time","No","Year 2","3","Psychology","Yes","Female ","Non-UKRN",1,4,3,3,0,1,3,3,2,19,19,1,1,1,0,1,1
"28",29,"UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,4,4,4,4,0,3,2,4,25,25,1,1,1,0,0,1
"29",30,"UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,3,1,3,1,3,3,3,3,20,20,1,0,0,1,0,1
"30",31,"UNI02","Full-time","No","Year 1","3","Psychology with counselling ","Yes","Female","Non-UKRN",1,1,3,3,1,0,2,3,3,16,16,1,0,0,0,1,1
"31",32,"UNI02","Full-time","No","Final Year","3","Bsc(hons) psychology ","Yes","Female ","Non-UKRN",1,4,4,3,3,1,3,2,3,23,23,1,1,0,0,0,1
"32",33,"UNI01","Full-time","No","Year 2","3","BSc (Hons) Psychology with Criminology","Yes","Female","Non-UKRN",1,3,3,3,1,1,3,2,2,18,18,1,0,0,0,0,1
"33",34,"UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female","Non-UKRN",1,3,3,4,4,2,3,4,4,27,27,1,1,1,1,1,1
"34",35,"UNI01","Full-time","No","Final Year","3","Psychology with Criminology","No","Female","Non-UKRN",1,3,3,4,1,1,3,3,4,22,22,1,1,0,1,1,1
"35",36,"UNI02","Full-time","Yes","Year 2","3","Psychology","No","Female","Non-UKRN",1,3,3,4,1,0,0,4,0,15,15,1,1,0,0,0,1
"36",37,"UNI02","Full-time","No","Year 2","3","Bsc (Hons) Psychology","No","Female","Non-UKRN",1,2,1,1,1,1,1,3,3,13,13,1,1,0,0,0,1
"37",38,"UNI02","Full-time","Yes","Year 2","4","Forensic psychology ","No","Female ","Non-UKRN",1,3,2,3,1,2,1,3,1,16,16,1,1,0,1,1,1
