"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
854,"UNI68","Full-time","Yes","Placement Year","3","Psychology","Yes","Female","Non-UKRN",1,1,1,1,1,0,0,0,1,5,1,1,0,1,1,1
855,"UNI68","Full-time","No","Year 1","4","Psychology with clinical approaches ","Yes","Female","Non-UKRN",1,1,0,0,1,1,0,1,1,5,1,1,1,0,0,1
856,"UNI68","Full-time","No","Year 1","3","Psychology","No","female","Non-UKRN",1,1,0,0,1,1,1,1,1,6,1,1,1,0,0,1
857,"UNI01","Full-time","No","Year 2","3","Psychology with Criminology BSc (Hons)","Yes","Female ","Non-UKRN",1,1,0,1,0,0,0,0,1,3,0,NA,NA,0,0,1
859,"UNI68","Full-time","No","Final Year","3","Psychology","Yes","Female","Non-UKRN",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
860,"UNI52","Full-time","No","Year 1","3","Music and Psychology BA (hons)","No","female","Non-UKRN",1,1,1,0,0,0,0,0,0,2,1,1,0,1,1,1
861,"UNI69","Full-time","No","Final Year","4","Psychology ","No","Female ","Non-UKRN",1,0,0,1,0,0,1,1,1,4,1,NA,0,0,1,1
862,"UKRN08","Full-time","Yes","Year 2","3","Psychology ","Yes","Female","UKRN",1,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1
863,"UKRN08","Full-time","No","Year 2","3","Psychology ","Yes","male","UKRN",1,0,0,1,0,0,1,0,1,3,1,NA,NA,NA,NA,1
864,"UKRN08","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Female","UKRN",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
865,"UNI69","Full-time","No","Year 1","4","Foundation year psychology ","No","Female","Non-UKRN",1,1,1,1,0,0,0,0,1,4,NA,NA,NA,NA,NA,1
866,"UNI52","Full-time","No","Final Year","3","Psychology Bsc","No","Female","Non-UKRN",1,1,1,1,0,0,1,0,1,5,NA,NA,NA,NA,NA,1
867,"UNI52","Full-time","No","Year 1","3","Psychology ","Yes","Female","Non-UKRN",1,1,1,0,1,1,0,1,0,5,NA,NA,NA,NA,NA,1
868,"UNI52","Full-time","No","Year 1","3","Psychology","Yes","Female","Non-UKRN",1,1,0,1,0,0,0,0,1,3,NA,NA,NA,NA,NA,1
869,"UKRN08","Full-time","No","Final Year","3","Psychology","Yes","","UKRN",1,0,0,1,1,1,0,1,1,5,NA,NA,NA,NA,NA,1
870,"UNI52","Full-time","No","Final Year","3","Psychology ","Yes","Female","Non-UKRN",1,1,1,1,1,1,1,1,1,8,NA,NA,NA,NA,NA,1
871,"UNI52","Full-time","No","Year 2","3","Psychology ","Yes","female ","Non-UKRN",1,0,0,1,0,1,1,0,1,4,NA,NA,NA,NA,NA,1
872,"UNI68","Full-time","No","Year 1","3","Psychology with Neuroscience","Yes","Male","Non-UKRN",1,1,1,1,1,1,1,0,1,7,1,1,1,1,0,1
873,"UNI68","Full-time","No","Year 1","3","Psychology ","Yes","Female","Non-UKRN",1,0,1,0,1,1,0,1,0,4,1,1,0,1,0,1
874,"UKRN08","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,8,NA,NA,NA,NA,NA,1
875,"UNI69","Full-time","No","Year 1","3","Psychology ","Yes","Female ","Non-UKRN",1,1,1,1,0,0,0,1,1,5,1,NA,NA,NA,NA,1
876,"UNI68","Full-time","No","Year 1","3","Psychology","Yes","Female","Non-UKRN",1,0,0,1,1,0,0,0,1,3,1,1,1,0,0,1
877,"UNI68","Full-time","No","Year 2","3","Psychology","No","Female","Non-UKRN",1,0,0,0,1,1,0,1,0,3,1,0,0,0,0,1
878,"UNI52","Full-time","No","Year 2","3","Psychology and Childhood and Youth (combined)","Yes","Female","Non-UKRN",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
879,"UKRN08","Full-time","No","Year 1","4","Psychology","No","female","UKRN",1,0,0,0,1,0,0,0,1,2,1,1,1,1,1,1
880,"UNI68","Full-time","Yes","Year 1","4","Psychology With A Professional Placement Year","Yes","Female","Non-UKRN",1,1,0,1,1,0,1,0,1,5,1,1,1,0,0,1
