"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
154,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
155,"UKRN01","Full-time","Yes","Year 1","3","Bsc Psychology","No","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
156,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
157,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
158,"UKRN01","Full-time","No","Year 1","3","Psychology","No","Female ","UKRN",1,1,1,0,1,0,1,1,1,1,1,1,1
159,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
160,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
161,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
162,"UKRN01","Full-time","No","Year 1","3","BSc Psychology","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
163,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
164,"UKRN01","Full-time","Yes","Year 2","4","Psychology (BSc)","Yes","Female","UKRN",1,1,1,1,0,0,0,1,1,1,1,1,1
165,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
166,"UKRN01","Full-time","Yes","Year 1","3","Psychology","Yes","Female","UKRN",1,1,1,NA,0,1,1,1,1,0,1,1,1
167,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc ","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
168,"UKRN01","Full-time","Yes","Year 1","3","Bsc Psychology","No","Female","UKRN",1,1,0,1,0,0,0,1,1,1,1,1,1
169,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,1,1,NA,0,0,1,1,1,0,1,1,1
170,"UKRN01","Full-time","Yes","Year 1","4","BSc psychology","Yes","male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
171,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
172,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
173,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology ","No","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
174,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
175,"UKRN01","Full-time","Yes","Year 1","3","Psychology BSc","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
176,"UKRN01","Full-time","Yes","Placement Year","4","psychology Bsc","Yes","female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
177,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Male","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
178,"UKRN01","Full-time","Yes","Year 2","3","BSc Psychology","Yes","Female","UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
179,"UKRN01","Full-time","Yes","Year 2","3","Psychology","No","Female","UKRN",1,1,1,1,1,0,1,1,1,1,1,1,1
180,"UKRN01","Full-time","Yes","Year 1","3","Psychology","Yes","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
181,"UKRN01","Full-time","No","Year 2","3","Psychology ","Yes","Female","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
182,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,0,1,0,0,0,1,1,1,1,1,1
183,"UKRN01","Full-time","Yes","Year 1","4","BCs psychology ","No","female","UKRN",1,1,0,0,1,0,1,1,1,1,1,1,1
184,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
185,"UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
186,"UKRN01","Full-time","Yes","Year 1","4","Psychology (BSc)","Yes","Male","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
187,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
188,"UKRN01","Full-time","No","Year 1","3","BSc Psychology","Yes","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
